date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
2025-06-01,Hudson Bay,,1475.0,1472.0,921875.0,843708.7275383349,920000.0,851250.0,620909.9999999999,92.52717391304348,67.49021739130433
2025-06-01,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,82860.0,100.0,80.8390243902439
2025-06-01,Foxe Basin,,341.0,339.0,213125.0,209012.1625774843,211875.0,185000.0,149792.5,87.31563421828909,70.69852507374631
2025-06-01,Hudson Strait,,303.0,284.0,189375.0,180206.42215591343,177500.0,127500.0,56207.49999999999,71.83098591549296,31.66619718309859
2025-06-01,Gesamtregion,,2285.0,2261.0,1428125.0,1330611.2353663843,1413125.0,1267500.0,910310.0000000001,89.69482529854047,64.41822202565237
1996-12-14,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,772500.0,531660.0,83.79661016949153,57.67159322033898
1996-12-14,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,94259.99999999999,100.0,91.96097560975608
1996-12-14,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,175555.0,100.0,82.37184750733138
1996-12-14,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,153125.0,59650.0,80.85808580858085,31.498349834983497
1996-12-14,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1242500.0,861632.5,87.00218818380743,60.33312910284464
1996-12-19,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,870000.0,732387.5000000001,94.37288135593221,79.44542372881357
1996-12-19,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,96977.49999999999,100.0,94.6121951219512
1996-12-19,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,186627.5,100.0,87.56715542521995
1996-12-19,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,157500.0,80997.5,83.16831683168317,42.77095709570957
1996-12-19,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1344375.0,1097727.5,94.13566739606128,76.86494529540482
1996-12-22,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,914375.0,780219.9999999999,99.1864406779661,84.63403389830508
1996-12-22,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,96424.99999999999,100.0,94.07317073170731
1996-12-22,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,187077.50000000003,100.0,87.77829912023462
1996-12-22,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,166250.0,95970.0,87.78877887788778,50.67722772277228
1996-12-22,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1397500.0,1160550.0,97.85557986870897,81.26389496717724
1996-12-21,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,900625.0,772735.0000000001,97.69491525423729,83.82210169491526
1996-12-21,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97507.5,100.0,95.12926829268292
1996-12-21,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,187017.50000000003,100.0,87.750146627566
1996-12-21,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,163750.0,90520.0,86.46864686468648,47.7993399339934
1996-12-21,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1381250.0,1148612.5000000002,96.71772428884027,80.42800875273525
1996-12-17,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,813750.0,659385.0,88.27118644067797,71.52650847457626
1996-12-17,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,95930.0,100.0,93.59024390243903
1996-12-17,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,178682.5,100.0,83.83929618768329
1996-12-17,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,146875.0,74605.0,77.55775577557755,39.395379537953794
1996-12-17,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1277500.0,1009179.9999999999,89.45295404814004,70.66468271334791
1996-12-06,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,616250.0,362460.0,66.84745762711864,39.317694915254236
1996-12-06,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,95850.00000000001,100.0,93.51219512195124
1996-12-06,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,182704.99999999997,100.0,85.72668621700879
1996-12-06,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,92500.0,31942.499999999996,48.84488448844885,16.867326732673266
1996-12-06,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1025625.0,673645.0000000001,71.81619256017505,47.169890590809636
