region,event_type,event_year,threshold_percent,event_date
Foxe Basin,break-up,1978,10.0,
Foxe Basin,break-up,1978,50.0,
Foxe Basin,break-up,1978,90.0,
Foxe Basin,freeze-up,1978,10.0,
Foxe Basin,freeze-up,1978,50.0,
Foxe Basin,freeze-up,1978,90.0,
Foxe Basin,break-up,1979,10.0,1979-09-02 21:53:59.728438
Foxe Basin,break-up,1979,50.0,1979-07-23 07:10:40.562466
Foxe Basin,break-up,1979,90.0,1979-06-14 01:59:23.529725
Foxe Basin,freeze-up,1979,10.0,1979-10-17 20:14:50.648193
Foxe Basin,freeze-up,1979,50.0,1979-10-31 00:48:52.772604
Foxe Basin,freeze-up,1979,90.0,1979-12-10 15:09:48.235294
Foxe Basin,break-up,1980,10.0,1980-08-19 04:41:52.266613
Foxe Basin,break-up,1980,50.0,1980-07-19 23:56:09.477054
Foxe Basin,break-up,1980,90.0,1980-06-05 00:55:03.361898
Foxe Basin,freeze-up,1980,10.0,1980-10-21 14:13:59.702233
Foxe Basin,freeze-up,1980,50.0,1980-11-09 04:01:22.788357
Foxe Basin,freeze-up,1980,90.0,1980-12-19 17:30:00.837598
Foxe Basin,break-up,1981,10.0,1981-08-06 21:38:28.599508
Foxe Basin,break-up,1981,50.0,1981-07-11 08:35:41.682974
Foxe Basin,break-up,1981,90.0,1981-05-16 08:47:57.883908
Foxe Basin,freeze-up,1981,10.0,1981-11-03 18:59:28.695652
Foxe Basin,freeze-up,1981,50.0,1981-11-14 14:24:24.052894
Foxe Basin,freeze-up,1981,90.0,1981-12-29 13:32:23.470887
Foxe Basin,break-up,1982,10.0,1982-08-20 08:26:27.174348
Foxe Basin,break-up,1982,50.0,1982-07-17 02:49:35.346767
Foxe Basin,break-up,1982,90.0,1982-06-12 05:46:22.354694
Foxe Basin,freeze-up,1982,10.0,1982-10-20 18:59:03.928625
Foxe Basin,freeze-up,1982,50.0,1982-11-07 14:13:15.152850
Foxe Basin,freeze-up,1982,90.0,1982-12-07 08:06:11.134020
Foxe Basin,break-up,1983,10.0,
Foxe Basin,break-up,1983,50.0,1983-08-08 09:02:05.799256
Foxe Basin,break-up,1983,90.0,1983-06-16 16:46:35.760915
Foxe Basin,freeze-up,1983,10.0,
Foxe Basin,freeze-up,1983,50.0,1983-10-27 15:19:10.061199
Foxe Basin,freeze-up,1983,90.0,1983-12-05 10:47:07.855153
Foxe Basin,break-up,1984,10.0,1984-08-23 01:45:27.887323
