region,date,water_pixels,water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent,relative_coverage_percent,missing_pixels
Foxe Basin,1978-10-26,341,213125.0,213125.0,167132.5,100.0,78.41994134897361,0
Gulf of Boothia,1978-10-26,164,102500.0,102500.0,97350.0,100.0,94.97560975609755,0
Hudson Bay,1978-10-26,1475,921875.0,144375.0,70172.5,15.66101694915254,7.611932203389831,0
Hudson Bay Area,1978-10-26,2285,1428125.0,481250.0,340992.5,33.69803063457331,23.876936542669583,0
Hudson Strait,1978-10-26,305,190625.0,21250.0,6337.5,11.147540983606556,3.324590163934426,0
Foxe Basin,1978-10-28,341,213125.0,212500.0,176160.0,99.7067448680352,82.65571847507331,0
Gulf of Boothia,1978-10-28,164,102500.0,102500.0,97825.0,100.0,95.4390243902439,0
Hudson Bay,1978-10-28,1475,921875.0,169375.0,81830.0,18.372881355932204,8.876474576271187,0
Hudson Bay Area,1978-10-28,2285,1428125.0,511250.0,362565.0,35.798687089715536,25.387483588621443,0
Hudson Strait,1978-10-28,305,190625.0,26875.0,6750.0,14.098360655737704,3.540983606557377,0
Foxe Basin,1978-10-30,341,213125.0,213125.0,175537.5,100.0,82.36363636363636,0
Gulf of Boothia,1978-10-30,164,102500.0,102500.0,97197.5,100.0,94.82682926829268,0
Hudson Bay,1978-10-30,1475,921875.0,189375.0,114300.0,20.54237288135593,12.39864406779661,0
Hudson Bay Area,1978-10-30,2285,1428125.0,549375.0,400340.0,38.46827133479212,28.032560175054705,0
Hudson Strait,1978-10-30,305,190625.0,44375.0,13305.0,23.27868852459016,6.979672131147541,0
Foxe Basin,1978-11-01,341,213125.0,213125.0,176542.5,100.0,82.83519061583577,0
Gulf of Boothia,1978-11-01,164,102500.0,102500.0,95060.0,100.0,92.74146341463414,0
Hudson Bay,1978-11-01,1475,921875.0,206875.0,118195.0,22.440677966101696,12.82115254237288,0
Hudson Bay Area,1978-11-01,2285,1428125.0,563750.0,404090.0,39.47483588621444,28.295142231947484,0
Hudson Strait,1978-11-01,305,190625.0,41250.0,14292.5,21.639344262295083,7.497704918032787,0
Foxe Basin,1978-11-03,341,213125.0,213125.0,184055.0,100.0,86.36011730205279,0
Gulf of Boothia,1978-11-03,164,102500.0,102500.0,97257.5,100.0,94.88536585365854,0
Hudson Bay,1978-11-03,1475,921875.0,202500.0,105465.0,21.966101694915253,11.440271186440675,0
Hudson Bay Area,1978-11-03,2285,1428125.0,576250.0,406735.0,40.35010940919037,28.48035010940919,0
Hudson Strait,1978-11-03,305,190625.0,58125.0,19957.5,30.49180327868853,10.46950819672131,0
Foxe Basin,1978-11-05,341,213125.0,213125.0,181770.0,100.0,85.28797653958944,0
Gulf of Boothia,1978-11-05,164,102500.0,102500.0,96052.5,100.0,93.70975609756096,0
