date,region,water_pixels,water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent,relative_coverage_percent,missing_pixels,relative_coverage_percent_ma,absolute_coverage_percent_ma,relative_ice_area_km2_ma,absolute_ice_area_km2_ma,month_day,relative_climatology_percent,absolute_climatology_percent,relative_anomaly_percent,absolute_anomaly_percent
1978-10-26,Foxe Basin,341.0,213125.0,213125.0,167132.5,100.0,78.41994134897361,0.0,81.0307917888563,99.8533724340176,172696.875,212812.5,10-26,17.104848484848485,32.66373411534702,61.31509286412512,67.33626588465299
1978-10-27,Foxe Basin,341.0,213125.0,212812.5,171646.25,99.8533724340176,80.53782991202345,0.0,81.29736070381232,99.88269794721408,173265.0,212875.0,10-27,18.453020527859238,35.33724340175953,62.08480938416422,64.51612903225808
1978-10-28,Foxe Basin,341.0,213125.0,212500.0,176160.0,99.7067448680352,82.65571847507331,0.0,81.51436950146628,99.90224828934508,173727.5,212916.66666666666,10-28,19.96905180840665,37.7663734115347,62.68666666666667,61.9403714565005
1978-10-29,Foxe Basin,341.0,213125.0,212812.5,175848.75,99.8533724340176,82.50967741935483,0.0,81.70305823209048,99.91621281943864,174129.64285714287,212946.42857142858,10-29,21.60349951124145,40.88465298142717,60.90617790811338,58.96871945259043
1978-10-30,Foxe Basin,341.0,213125.0,213125.0,175537.5,100.0,82.36363636363636,0.0,82.58558860494342,99.91621281943864,176010.5357142857,212946.42857142858,10-30,22.50142717497556,41.52981427174976,59.8622091886608,58.47018572825024
1978-10-31,Foxe Basin,341.0,213125.0,213125.0,176040.0,100.0,82.59941348973607,0.0,83.41734394637619,99.93715961457896,177783.2142857143,212991.07142857142,10-31,24.38731182795699,43.484848484848484,58.21210166177907,56.515151515151516
1978-11-01,Foxe Basin,341.0,213125.0,213125.0,176542.5,100.0,82.83519061583577,0.0,83.86996229576873,99.97905320485964,178747.85714285713,213080.35714285713,11-01,26.06909090909091,46.01173020527859,56.76609970674486,53.98826979472141
1978-11-02,Foxe Basin,341.0,213125.0,213125.0,180298.75,100.0,84.59765395894428,0.0,84.26686217008796,100.0,179593.75,213125.0,11-02,28.39880742913001,48.97360703812317,56.19884652981427,51.02639296187683
1978-11-03,Foxe Basin,341.0,213125.0,213125.0,184055.0,100.0,86.36011730205279,0.0,84.81860075408461,100.0,180769.64285714287,213125.0,11-03,31.3786119257087,52.981427174975565,54.98150537634409,47.018572825024435
1978-11-04,Foxe Basin,341.0,213125.0,213125.0,182912.5,100.0,85.8240469208211,0.0,85.47063259321324,100.0,182159.2857142857,213125.0,11-04,33.09364613880743,56.01173020527859,52.730400782013675,43.98826979472141
1978-11-05,Foxe Basin,341.0,213125.0,213125.0,181770.0,100.0,85.28797653958944,0.0,86.20938416422287,100.0,183733.75,213125.0,11-05,34.668523949169106,58.42619745845552,50.61945259042033,41.57380254154448
1978-11-06,Foxe Basin,341.0,213125.0,213125.0,183768.75,100.0,86.2258064516129,0.0,86.81675743611228,100.0,185028.2142857143,213125.0,11-06,36.38563049853372,60.654936461388075,49.840175953079175,39.345063538611925
1978-11-07,Foxe Basin,341.0,213125.0,213125.0,185767.5,100.0,87.16363636363636,0.0,87.0651026392962,100.0,185557.5,213125.0,11-07,39.49020527859238,64.17888563049853,47.67343108504398,35.82111436950147
