region,year,relative_mean_coverage_percent,absolute_mean_coverage_percent,relative_mean_ice_area_km2,absolute_mean_ice_area_km2
Foxe Basin,1979,69.47742256859358,83.08440123729562,148073.75684931508,177073.6301369863
Foxe Basin,1980,65.96363315866225,79.00741951508742,140584.99316939892,168384.56284153005
Foxe Basin,1981,60.898281444582814,73.29048326838871,129789.46232876713,156200.34246575343
Foxe Basin,1982,66.77188285863495,79.38215562607962,142307.57534246575,169183.2191780822
Foxe Basin,1983,76.14569236331498,90.79098541758728,162285.50684931508,193498.2876712329
Foxe Basin,1984,68.05048795730974,80.47850263609122,145032.6024590164,171519.8087431694
Foxe Basin,1985,63.49194391997751,75.65259309846141,135317.20547945207,161234.5890410959
Foxe Basin,1986,69.70420760856466,83.60181577150203,148557.09246575343,178176.3698630137
Foxe Basin,1988,65.34854001982505,77.32000064099482,139274.07591725214,164788.2513661202
Foxe Basin,1989,69.98911501225244,82.78632547302455,149164.301369863,176438.35616438356
Foxe Basin,1990,74.0979134696501,86.4853573293697,157921.1780821918,184321.91780821918
Foxe Basin,1991,68.6918346523119,81.22283372835737,146399.47260273973,173106.16438356164
Foxe Basin,1992,69.82216880598689,83.65703571943656,148808.49726775955,178294.05737704918
Foxe Basin,1993,67.71337484433374,79.14674808179007,144314.1301369863,168681.50684931508
Foxe Basin,1994,62.66595749809183,74.488410396497,133556.8219178082,158753.42465753425
Foxe Basin,1995,62.9121343349536,75.3119350821516,134081.48630136985,160508.56164383562
Foxe Basin,1996,63.87419515087416,76.9458199125042,136131.87841530054,163990.7786885246
Foxe Basin,1997,63.55625758245289,76.0671674768007,135454.27397260274,162118.15068493152
Foxe Basin,1998,59.271171815369776,71.74788093038204,126321.68493150685,152912.67123287672
Foxe Basin,1999,64.32292451693246,77.66761740248262,137088.23287671234,165529.1095890411
Foxe Basin,2000,63.75050237969329,75.70228995400862,135868.25819672132,161340.50546448087
Foxe Basin,2001,62.78423653235849,74.70373197284377,133808.90410958903,159212.32876712328
Foxe Basin,2002,60.89054754348612,73.04222070461576,129772.97945205479,155671.23287671234
Foxe Basin,2003,57.12631181456634,70.25187803800266,121750.45205479451,149724.31506849316
Foxe Basin,2004,64.99549701136164,77.71341121420444,138521.65300546447,165626.70765027322
Foxe Basin,2005,58.32859036676978,71.0786164785281,124312.80821917808,151486.301369863
Foxe Basin,2006,52.63126501426104,64.51773590969349,112170.38356164383,137503.42465753425
Foxe Basin,2007,60.55171815369782,74.03366408227213,129050.8493150685,157784.24657534246
Foxe Basin,2008,65.0438408409852,76.32806115090621,138624.68579234972,162674.18032786885
Foxe Basin,2009,61.50340095609207,73.59739685855462,131079.12328767125,156854.45205479453
Foxe Basin,2010,52.966025790382844,65.04961234081871,112883.84246575342,138636.98630136985
Foxe Basin,2011,56.671822600731126,70.54272285381433,120781.82191780822,150344.1780821918
Foxe Basin,2012,59.54147396759772,70.80589074243225,126897.76639344262,150905.05464480876
Foxe Basin,2013,62.829245169324714,74.51813762905235,133904.82876712328,158816.7808219178
Foxe Basin,2014,63.76370867312096,75.23962559755755,135896.40410958903,160354.45205479453
Foxe Basin,2015,66.2096075201864,78.94187120877355,141109.22602739726,168244.86301369863
Foxe Basin,2016,59.06362194125282,71.59191064532155,125879.34426229508,152580.25956284153
Foxe Basin,2017,59.16475796408629,71.61933073554815,126094.8904109589,152638.698630137
Foxe Basin,2018,64.52533643996304,76.6448399148355,137519.62328767125,163349.31506849316
Foxe Basin,2019,54.20619129875868,64.78206724782066,115526.94520547945,138066.7808219178
Foxe Basin,2020,58.81422688011794,70.52625675047673,125347.82103825136,150309.08469945355
Foxe Basin,2021,58.1918033182019,70.63431486763346,124021.28082191781,150539.38356164383
Foxe Basin,2022,59.06934158197083,71.0778130398104,125891.53424657535,151484.5890410959
Foxe Basin,2023,55.252380990639935,66.69264451853935,117756.63698630137,142138.698630137
Foxe Basin,2024,53.612018652949374,65.2933352563178,114260.61475409837,139156.42076502732
Foxe Basin,2025,50.79998553810308,62.5280199252802,108267.46917808219,133262.84246575343
Gulf of Boothia,1979,91.29915469428666,99.20815235549615,93581.63356164383,101688.35616438356
